ntpm,tpcc,Country
34.000,8.273,Argentina
34.000,8.648,Argentina
36.000,9.128,Argentina
67.000,10.037,Argentina
35.000,10.022,Argentina
46.000,10.879,Argentina
49.000,11.191,Argentina
51.000,11.641,Argentina
39.000,11.567,Argentina
41.000,11.798,Argentina
45.000,12.123,Argentina
58.000,12.525,Argentina
57.000,12.755,Argentina
63.000,13.045,Argentina
61.000,13.849,Argentina
55.000,13.248,Argentina
44.000,13.778,Argentina
38.000,13.434,Argentina
54.000,13.626,Argentina
63.000,13.292,Argentina
216.000,52.692,India
315.000,53.166,India
340.00,53.621,India
422.000,54.55,India
322.000,54.998,India
373.000,55.763,India
239.000,56.279,India
321.000,57.282,India
171.000,57.57,India
192.000,57.883,India
452.000,60.263,India
587.000,62.224,India
568.000,63.923,India
421.000,65.296,India
318.000,66.391,India
494.000,68.067,India
558.000,70.132,India
616.000,72.352,India
466.000,73.913,India
478.000,75.556,India
416.000,77.024,India
534.000,78.911,India
538.000,80.797,India
754.000,83.552,India
989.000,87.085,India
891.000,90.377,India
844.000,93.337,India
671.000,95.606,India
570.00,97.4,India
937.000,100.548,India
1329.000,105.098,India
1.000,75.267,India
1.000,67.97,India
1.000,53.122,India
3.000,47.169,India
3.000,44.74,India
15.000,30.093,India
8.000,27.55,India
7.000,26.536,India
8.000,24.851,India
9.000,25.789,India
10.00,24.628,India
12.000,25.272,India
12.000,25.161,India
13.000,24.087,India
12.000,23.426,India
16.000,23.771,India
20.00,23.631,India
22.000,24.008,India
21.000,24.471,India
23.000,25.033,India
27.000,25.881,India
21.000,25.559,India
30.00,23.477,India
28.000,23.666,India
33.000,23.6,India
29.000,23.871,India
37.000,24.35,India
39.000,24.6,India
43.000,25.12,India
53.000,25.758,India
53.000,26.151,India
51.000,26.174,India
44.000,26.032,India
61.000,25.67,India
61.000,25.85,India
58.000,25.635,India
58.000,25.519,India